name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.10614837100115437,0.00030155787216237036,0.0001672979999511881,0.0008099959999299244
attn.qkv_projection,QKV Projection,352,0.987952417999395,0.0028066830056800995,0.0023141140000007,0.011067233000062515
attn.matmul_qk,QKᵀ MatMul,352,0.22346160699953543,0.0006348341107941347,0.00032672500003627647,0.004944040000054883
attn.apply_causal_mask,Causal Mask,32,0.10629518500002177,0.0033217245312506805,0.0028322979999302333,0.006129048999923725
attn.softmax,Softmax,352,0.17185405999964587,0.00048822176136263033,0.00010006499996961793,0.055713198000034936
attn.weighted_sum,Attention Weighted Sum,352,0.2090304739997464,0.0005938365738629159,0.00022512300006383157,0.004975977000071907
attn.out_projection,Output Projection,352,0.38530981900055394,0.00109463016761521,0.0009127820000003339,0.003427058999932342
block.norm2,LayerNorm (Pre-FFN),352,0.10789520400055608,0.0003065204659106707,0.0002277149999372341,0.0008217080001031718
ff.linear1,FFN Linear 1,352,1.3250845770013484,0.003764444821026558,0.0030093240000041988,0.03371306899998672
ff.gelu,GELU Activation,352,0.09041646399839465,0.0002568649545408939,0.0001702099999647544,0.001140208000038001
ff.linear2,FFN Linear 2,352,1.4797930049991237,0.004203957400565692,0.0029470189999756258,0.029818835000014587
model.output_head,Output Head Projection,11,0.19355956499975946,0.017596324090887225,0.008164310999973168,0.05991482799993264
attn.cache_concat,KV Cache Concat,320,0.2186404090001588,0.0006832512781254962,0.0006322969999246197,0.000870541000040248
