name,pretty_name,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attention),352,0.11242915899538275,0.00031940101987324647,0.0002598659998511721,0.0009503780001978157
attn.qkv_projection,QKV Projection,352,0.957479934998446,0.0027201134517001306,0.002263275999666803,0.013378375999764103
attn.matmul_qk,QKᵀ MatMul,352,0.24759367400247356,0.0007033911193252089,0.0003593839996938186,0.007081498999923497
attn.apply_causal_mask,Causal Mask,32,0.1659885789999862,0.005187143093749569,0.004539605999980267,0.00918986600026983
attn.softmax,Softmax,352,0.6072645919966817,0.001725183499990573,0.00011775800021496252,0.03388976800033561
attn.weighted_sum,Attention Weighted Sum,352,0.24207842300438642,0.0006877227926260978,0.00019932300028813188,0.005848440000136179
attn.out_projection,Output Projection,352,0.38403111499837905,0.0010909974857908496,0.0008237890001510095,0.0032935869999164424
block.norm2,LayerNorm (Pre-FFN),352,0.11283320400070806,0.00032054887500201153,0.00014927600022929255,0.0008221890002459986
ff.linear1,FFN Linear 1,352,1.239804951001588,0.0035221731562545115,0.002945627999906719,0.012083846000223275
ff.gelu,GELU Activation,352,0.09585789999846384,0.00027232357954109045,0.00020095499985472998,0.0011223100000279373
ff.linear2,FFN Linear 2,352,1.4149777440002254,0.004019823136364276,0.0029390029999376566,0.021552808999786066
model.output_head,Output Head Projection,11,0.1842763190002188,0.016752392636383527,0.007410292000258778,0.07116378199998508
attn.cache_concat,KV Cache Concat,320,0.24518476800267308,0.0007662024000083534,0.0006298420003076899,0.0009323300000687595
