name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.10707719903439283,0.00030419658816588873,0.00017353400471620262,0.0014064819988561794
attn.q_proj,Q Projection,Self-Attention,352,0.411193951164023,0.0011681646339887018,0.0009602149948477745,0.005437992993392982
attn.k_proj,K Projection,Self-Attention,352,0.4144380540237762,0.0011773808352948188,0.0009746139985509217,0.005868452004506253
attn.v_proj,V Projection,Self-Attention,352,0.4129777711787028,0.001173232304484951,0.0009685020049801096,0.0057902130065485835
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.2209836858237395,0.0006277945619992599,0.00039714800368528813,0.0048908299941103905
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.16821543574042153,0.00047788476062619753,0.00019033400167245418,0.004177077003987506
attn.softmax,Softmax,Self-Attention,352,0.1140492280392209,0.00032400348874778666,0.000125119011499919,0.0036876419908367097
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.20408280396077316,0.0005797806930703783,0.0002472609921824187,0.005543880004552193
attn.out_projection,Output Projection,Self-Attention,352,0.3802537848241627,0.0010802664341595532,0.000909493988729082,0.0036390989989740774
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.11268090113298967,0.00032011619640053885,0.00020322999625932425,0.001429522002581507
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.2966427450737683,0.0036836441621413874,0.00302707300579641,0.013236985003459267
ff.gelu,GELU Activation,Feed Forward Network,352,0.07916404798743315,0.00022489786360066236,0.00016191801114473492,0.00172286199813243
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.4660130369884428,0.004164809764171712,0.0029605129966512322,0.033750119007891044
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.1980379709857516,0.0180034519077956,0.00821850799547974,0.06294300299487077
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.2177994869853137,0.0006806233968291054,0.0006348409951897338,0.0009605339873814955
