name,pretty_name,group,count,total,avg,min,max
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,32,0.058789044001059665,0.0018371576250331145,0.0015638159993613954,0.004240207000293594
attn.q_proj,Q Projection,Self-Attention,32,0.3216200029974061,0.010050625093668941,0.009383210999658331,0.02443147600024531
attn.k_proj,K Projection,Self-Attention,32,0.12715396000112378,0.003973561250035118,0.003636145000200486,0.008493981000356143
attn.v_proj,V Projection,Self-Attention,32,0.1214753690019279,0.003796105281310247,0.0036116979999860632,0.0043136750000485335
attn.gqa_expand,GQA Expand,Self-Attention,32,0.08545012300237431,0.0026703163438241972,0.0025065130002985825,0.0030138130005070707
attn.matmul_qk,QKᵀ MatMul,Self-Attention,32,5.933097682999687,0.18540930259374022,0.10789572599969688,2.552281496999967
attn.apply_causal_mask,Causal Mask,Self-Attention,32,3.7412267879972205,0.11691333712491314,0.11530791400036833,0.13767652999922575
attn.softmax,Softmax,Self-Attention,32,8.81722813200031,0.27553837912500967,0.19341240399990056,2.8076774510000178
attn.weighted_sum,Attention Weighted Sum,Self-Attention,32,5.2588743219976095,0.1643398225624253,0.163004660000297,0.1903193640000609
attn.out_projection,Output Projection,Self-Attention,32,0.26348703900202963,0.008233969968813426,0.008190095000827569,0.008383940000385337
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,32,0.05716903699885734,0.0017865324062142918,0.0017577560001882375,0.002003822000006039
ff.w1_gate,Ff W1 Gate,Feed Forward Network,32,1.0725981049981783,0.03351869078119307,0.033419189999222,0.03471537200039165
ff.w2_up,Ff W2 Up,Feed Forward Network,32,1.077283535000788,0.03366511046877463,0.03344744400055788,0.0348725790008757
ff.swiglu_act,Ff Swiglu Act,Feed Forward Network,32,0.2261976779982433,0.007068677437445103,0.006833980000010342,0.008856520999870554
ff.w3_down,Ff W3 Down,Feed Forward Network,32,1.0251843850037403,0.032037012031366885,0.0314803880000909,0.03247959500004072
model.output_head,Output Head Projection,Output Head / Extra Proj,1,0.271001468000577,0.271001468000577,0.271001468000577,0.271001468000577
