name,pretty_name,group,count,total,avg,min,max
model.proj_in,Extra Proj In,Output Head / Extra Proj,11,0.01575203902029898,0.0014320035472999073,0.0009738589869812131,0.004825839001568966
block.norm1,LayerNorm (Pre-Attn),Layer Normalization,352,0.14003571003559045,0.00039782872169201835,0.00028818300052080303,0.0010917750041699037
attn.q_proj,Q Projection,Self-Attention,352,0.4091424608777743,0.001162336536584586,0.0009576669981470332,0.004442842997377738
attn.k_proj,K Projection,Self-Attention,352,0.41363837708195206,0.0011751090258010001,0.0009711390011943877,0.004440443008206785
attn.v_proj,V Projection,Self-Attention,352,0.4123142190655926,0.0011713472132545246,0.0009609310072846711,0.004446491002454422
attn.matmul_qk,QKᵀ MatMul,Self-Attention,352,0.21888434304855764,0.0006218305200243115,0.0003879249998135492,0.004112164999241941
attn.apply_causal_mask,Causal Mask,Self-Attention,352,0.16211551387095824,0.0004605554371334041,0.0002082819992210716,0.003613363005570136
attn.softmax,Softmax,Self-Attention,352,0.11079406880890019,0.0003147558772980119,0.00013302000297699124,0.002880073996493593
attn.weighted_sum,Attention Weighted Sum,Self-Attention,352,0.20066988401231356,0.0005700848977622544,0.0002629999944474548,0.0046805320016574115
attn.out_projection,Output Projection,Self-Attention,352,0.38310173987702,0.001088357215559716,0.0009051249944604933,0.0031768970075063407
block.norm2,LayerNorm (Pre-FFN),Layer Normalization,352,0.14563662017462775,0.0004137403982233743,0.00032248599745798856,0.0009410909988218918
ff.linear1,FFN Linear 1,Feed Forward Network,352,1.288025226109312,0.0036591625741741814,0.0030099900031927973,0.012451210990548134
ff.gelu,GELU Activation,Feed Forward Network,352,0.07664855684561189,0.00021775158194776105,0.00014406000263988972,0.0008862130052875727
ff.linear2,FFN Linear 2,Feed Forward Network,352,1.4619905217987252,0.004153382164200924,0.0029457679920597,0.03402253099193331
model.proj_out,Extra Proj Out,Output Head / Extra Proj,11,0.019363291023182683,0.0017602991839256983,0.001037505004205741,0.007534589996794239
model.output_head,Output Head Projection,Output Head / Extra Proj,11,0.2364239140151767,0.02149308309228879,0.008090766001259908,0.07046934100799263
attn.cache_concat,KV Cache Concat,Self-Attention,320,0.22129866587056313,0.0006915583308455097,0.0006003020098432899,0.0008653500117361546
